position,original_char,replacement_char,original_word,perturbed_word,word_freq,perturbed_freq
0,事,示,事情,示情,1489,0
0,媒,没,媒体,没体,1469,0
1,以,已,所以,所已,1463,0
1,于,過,关于,关過,1458,0
1,同,童,不同,不童,1446,0
1,而,儿,然而,然儿,1437,0
1,定,订,决定,决订,1437,0
0,信,衅,信息,衅息,1430,0
0,那,纳,那么,纳么,1428,0
0,政,证,政策,证策,1423,0
0,最,罪,最近,罪近,1417,0
1,力,丽,努力,努丽,1415,0
0,调,条,调查,条查,1409,0
0,导,讶,导致,讶致,1402,0
0,历,力,历史,力史,1402,0
0,不,布,不能,布能,1400,0
1,个,各,两个,两各,1398,0
0,地,第,地区,第区,1394,0
0,行,航,行动,航动,1394,0
0,带,代,带来,代来,1375,0
0,病,并,病毒,并毒,1359,0
1,场,厂,一场,一厂,1358,0
0,今,金,今年,金年,1352,0
0,或,获,或者,获者,1343,0
1,有,友,拥有,拥友,1327,0
1,些,歇,有些,有歇,1324,0
0,疫,艺,疫情,艺情,1320,0
0,市,示,市场,示场,1319,0
1,少,哨,至少,至哨,1318,0
0,只,止,只有,止有,1315,0
1,后,候,然后,然候,1312,0
1,变,辩,改变,改辩,1304,0
1,明,名,表明,表名,1298,0
0,担,丹,担心,丹心,1294,0
1,择,则,选择,选则,1285,0
1,件,建,事件,事建,1281,0
1,友,有,朋友,朋有,1278,0
1,大,場,最大,最場,1276,0
1,影,種,电影,电種,1276,0
1,学,穴,大学,大穴,1275,0
0,试,是,试图,是图,1274,0
0,这,浙,这一,浙一,1268,0
1,然,燃,虽然,虽燃,1266,0
1,术,数,技术,技数,1257,0
1,项,相,一项,一相,1254,0
0,以,已,以来,已来,1241,0
0,行,航,行为,航为,1231,0
0,喜,洗,喜欢,洗欢,1230,0
0,项,象,项目,象目,1222,0
1,员,元,人员,人元,1221,0
0,威,危,威胁,危胁,1212,0
1,关,官,有关,有官,1212,0
0,完,玩,完全,玩全,1207,0
1,今,金,如今,如金,1205,0
1,后,候,最后,最候,1200,0
0,继,记,继续,记续,1199,0
1,制,至,控制,控至,1197,0
1,事,是,故事,故是,1196,0
0,因,音,因此,音此,1193,0
0,变,辩,变得,辩得,1188,0
0,她,肯,她们,肯们,1188,0
0,一,移,一点,移点,1181,0
0,进,近,进入,近入,1177,0
0,结,截,结果,截果,1176,0
0,记,技,记者,技者,1175,0
1,际,纪,国际,国纪,1172,0
1,来,它,起来,起它,1167,0
0,组,阻,组织,阻织,1146,0
1,易,意,贸易,贸意,1136,0
0,同,铜,同时,铜时,1134,0
0,由,尤,由于,尤于,1132,0
0,报,暴,报告,暴告,1131,0
0,原,员,原因,员因,1128,0
1,布,不,宣布,宣不,1127,0
1,终,中,最终,最中,1125,0
1,注,筑,关注,关筑,1122,0
1,间,奸,期间,期奸,1122,0
1,出,初,做出,做初,1119,0
1,示,是,显示,显是,1119,0
0,病,并,病例,并例,1116,0
0,学,穴,学校,穴校,1112,0
1,汉,捍,武汉,武捍,1106,0
0,文,闻,文化,闻化,1103,0
0,运,孕,运动,孕动,1101,0
1,然,燃,仍然,仍燃,1093,0
1,个,各,几个,几各,1088,0
0,企,起,企业,起业,1082,0
0,感,敢,感觉,敢觉,1080,0
1,出,初,提出,提初,1067,0
0,离,璃,离开,璃开,1059,0
1,加,家,增加,增家,1058,0
0,造,噪,造成,噪成,1057,0
0,父,副,父母,副母,1053,0
0,协,胁,协议,胁议,1053,0
0,未,为,未来,为来,1049,0
0,家,加,家庭,加庭,1045,0
0,如,儒,如此,儒此,1036,0
0,后,候,后来,候来,1034,0
0,华,滑,华为,滑为,1032,0
0,成,惩,成功,惩功,1031,0
1,加,家,更加,更家,1028,0
1,临,林,面临,面林,1027,0
1,构,购,机构,机购,1022,0
0,引,饮,引发,饮发,1019,0
1,够,默,能够,能默,1007,0
1,标,飙,目标,目飙,1004,0
1,力,例,能力,能例,1004,0
1,家,加,专家,专加,1002,0
1,束,数,结束,结数,998,0
0,这,浙,这么,浙么,996,0
1,由,邮,自由,自邮,995,0
1,加,家,参加,参家,994,0
1,制,治,限制,限治,994,0
0,移,一,移民,一民,988,0
1,常,长,通常,通长,984,1
1,心,新,中心,中新,983,1
0,一,無,一份,無份,982,0
0,新,心,新闻,心闻,979,0
1,解,姐,了解,了姐,977,0
1,如,儒,比如,比儒,974,0
0,严,研,严重,研重,972,0
1,人,仁,有人,有仁,972,0
0,部,不,部分,不分,968,6
0,父,附,父亲,附亲,967,0
1,长,常,增长,增常,966,0
1,据,巨,数据,数巨,957,0
0,采,彩,采访,彩访,950,0
1,到,道,找到,找道,946,0
0,一,疑,一年,疑年,941,0
0,尤,由,尤其,由其,940,0
1,律,绿,法律,法绿,940,0
0,指,只,指控,只控,939,0
0,程,承,程度,承度,939,0
1,护,户,保护,保户,938,0
0,采,彩,采取,彩取,936,0
0,产,阐,产生,阐生,934,0
0,感,橄,感染,橄染,929,0
1,绝,觉,拒绝,拒觉,925,0
1,时,实,小时,小实,921,0
1,备,被,准备,准被,916,0
1,行,航,举行,举航,913,0
0,官,关,官方,关方,912,0
1,到,盗,遭到,遭盗,912,0
1,切,喊,一切,一喊,911,0
1,是,世,而是,而世,907,0
0,承,成,承诺,成诺,895,0
0,十,实,十年,实年,895,0
1,议,易,抗议,抗易,895,0
0,并,病,并且,病且,894,0
1,局,橘,当局,当橘,893,0
0,批,披,批评,披评,891,0
1,國,堪,中國,中堪,891,0
0,真,针,真正,针正,889,0
0,公,工,公开,工开,888,0
0,措,错,措施,错施,887,0
1,话,画,的话,的画,887,0
1,要,耀,想要,想耀,884,0
0,那,纳,那个,纳个,883,0
0,考,烤,考虑,烤虑,882,0
1,程,成,过程,过成,881,0
0,大,場,大量,場量,880,0
0,参,餐,参与,餐与,876,0
1,地,蒂,当地,当蒂,874,0
0,健,件,健康,件康,873,0
1,常,尝,经常,经尝,862,0
0,机,击,机会,击会,861,0
0,社,當,社交,當交,861,0
1,道,到,写道,写到,859,1
1,络,落,网络,网落,858,0
0,经,京,经历,京历,857,0
1,育,预,教育,教预,857,0
0,做,作,做法,作法,854,7
0,美,每,美元,每元,853,0
0,传,船,传统,船统,848,0
1,主,瞩,民主,民瞩,842,0
1,险,显,风险,风显,833,0
0,即,集,即使,集使,832,0
0,欧,殴,欧洲,殴洲,829,0
0,保,堡,保持,堡持,823,0
0,家,加,家人,加人,822,3
1,院,怨,医院,医怨,820,0
0,科,苛,科技,苛技,820,0
0,同,童,同样,童样,820,0
0,警,井,警告,井告,818,0
0,也,野,也许,野许,815,0
0,投,头,投资,头资,810,0
1,裁,材,制裁,制材,810,0
0,合,何,合作,何作,805,0
0,根,跟,根据,跟据,804,0
1,立,利,建立,建利,804,0
0,持,迟,持续,迟续,803,0
1,大,場,巨大,巨場,801,0
0,相,香,相信,香信,800,0
0,一,移,一座,移座,800,0
1,片,骗,照片,照骗,799,0
1,对,队,反对,反队,796,0
1,机,击,手机,手击,795,0
0,这,浙,这项,浙项,794,0
0,令,另,令人,另人,793,2
0,分,芬,分析,芬析,791,0
0,公,宫,公寓,宫寓,788,0
1,易,意,容易,容意,787,0
0,或,获,或许,获许,786,0
0,纽,扭,纽约,扭约,784,0
0,往,网,往往,网往,783,0
1,民,會,公民,公會,783,0
1,新,心,重新,重心,783,35
1,报,暴,时报,时暴,782,0
1,认,任,承认,承任,781,0
0,实,十,实现,十现,773,0
1,洲,周,亚洲,亚周,771,0
0,每,美,每个,美个,769,0
1,方,芳,西方,西芳,769,0
0,不,部,不再,部再,768,0
0,那,娜,那样,娜样,768,0
1,场,厂,这场,这厂,767,0
1,天,添,一天,一添,766,0
1,来,莱,出来,出莱,766,0
1,议,意,建议,建意,766,0
0,不,步,不要,步要,763,0
1,方,芳,警方,警芳,761,0
0,男,难,男性,难性,760,0
1,代,戴,时代,时戴,760,4
0,周,州,周一,州一,756,0
0,真,针,真的,针的,756,0
0,指,止,指出,止出,756,0
0,英,卻,英国,卻国,753,0
1,然,燃,当然,当燃,753,0
1,判,時,谈判,谈時,750,0
0,不,布,不断,布断,748,0
0,产,阐,产品,阐品,743,0
1,天,添,今天,今添,740,0
0,大,場,大约,場约,739,0
1,次,刺,这次,这刺,739,0
1,现,线,表现,表线,739,0
1,对,队,针对,针队,739,0
0,代,戴,代表,戴表,738,0
1,经,精,曾经,曾精,736,0
1,力,利,压力,压利,735,0
0,作,做,作品,做品,734,1
0,每,美,每天,美天,733,0
1,楚,处,清楚,清处,731,0
1,轻,清,年轻,年清,731,0
0,导,岛,导弹,岛弹,728,0
1,亲,侵,母亲,母侵,726,0
0,利,力,利用,力用,723,0
0,相,箱,相关,箱关,723,0
1,份,分,身份,身分,723,2
1,近,禁,附近,附禁,722,0
0,联,连,联系,连系,722,0
1,筑,住,建筑,建住,720,0
1,明,名,声明,声名,719,3
1,個,侈,一個,一侈,717,0
1,快,块,很快,很块,715,0
1,众,重,公众,公重,714,0
1,們,语,我們,我语,714,0
1,战,運,挑战,挑運,711,0
1,度,渡,印度,印渡,711,0
0,变,辩,变成,辩成,710,0
1,类,累,人类,人累,710,0
1,章,张,文章,文张,709,0
0,这,浙,这座,浙座,708,0
0,一,移,一定,移定,708,0
0,周,確,周二,確二,707,0
0,伊,一,伊朗,一朗,704,0
0,权,全,权力,全力,703,38
0,再,在,再次,在次,702,0
0,类,累,类似,累似,698,0
0,患,换,患者,换者,697,0
1,店,电,酒店,酒电,695,0
0,担,单,担忧,单忧,692,0
1,意,义,愿意,愿义,692,0
1,工,公,员工,员公,692,0
0,服,弗,服务,弗务,688,0
1,于,過,位于,位過,687,0
1,统,桶,系统,系桶,687,0
0,解,姐,解释,姐释,687,0
0,主,煮,主席,煮席,686,0
0,审,沈,审查,沈查,686,0
0,人,仁,人口,仁口,686,0
0,游,現,游客,現客,684,0
1,民,會,居民,居會,681,0
0,前,钱,前往,钱往,679,0
0,整,拯,整个,拯个,679,0
1,位,为,这位,这为,677,19
0,大,場,大陆,場陆,675,0
0,减,检,减少,检少,674,0
0,不,布,不仅,布仅,674,0
1,止,只,禁止,禁只,674,0
0,变,便,变化,便化,670,0
1,其,旗,及其,及旗,670,0
1,共,贡,中共,中贡,668,0
1,容,融,内容,内融,667,0
1,争,征,战争,战征,666,0
1,对,队,应对,应队,661,0
0,访,仿,访问,仿问,660,0
1,察,查,警察,警查,659,0
1,然,燃,依然,依燃,659,0
1,险,显,危险,危显,659,0
0,回,爭,回到,爭到,657,0
0,周,洲,周三,洲三,656,0
0,购,构,购买,构买,656,0
1,宫,公,白宫,白公,656,0
1,条,結,一条,一結,656,0
1,人,仁,个人,个仁,656,0
0,除,橱,除了,橱了,652,0
1,們,於,他們,他於,652,0
0,视,市,视频,市频,651,0
1,到,道,直到,直道,651,0
0,多,咄,多年,咄年,644,0
1,决,绝,解决,解绝,641,0
0,经,京,经过,京过,635,0
0,唯,为,唯一,为一,634,0
1,布,不,发布,发不,633,0
0,领,岭,领域,岭域,633,0
1,点,典,观点,观典,632,0
0,各,个,各种,个种,625,0
0,数,述,数字,述字,624,0
0,行,航,行业,航业,624,0
1,应,映,回应,回映,623,0
1,区,曲,社区,社曲,620,0
1,家,嘉,这家,这嘉,619,0
1,举,沮,选举,选沮,619,0
1,导,蹈,领导,领蹈,611,0
0,直,职,直接,职接,611,0
0,力,立,力量,立量,610,0
1,时,十,有时,有十,610,5
0,方,芳,方法,芳法,609,0
0,才,财,才能,财能,609,0
1,境,竞,环境,环竞,608,0
1,计,纪,设计,设纪,606,0
0,传,船,传播,船播,604,0
1,病,并,疾病,疾并,603,0
0,寻,询,寻找,询找,598,0
1,值,直,价值,价直,597,0
1,员,元,成员,成元,595,0
0,电,垫,电话,垫话,593,0
1,革,隔,改革,改隔,593,0
1,弃,气,放弃,放气,591,0
1,解,姐,理解,理姐,589,0
1,次,刺,首次,首刺,589,0
1,诊,枕,确诊,确枕,587,0
0,态,太,态度,太度,586,0
1,迎,营,欢迎,欢营,584,0
1,件,健,文件,文健,584,0
1,造,它,制造,制它,583,0
1,明,名,证明,证名,582,0
1,大,場,很大,很場,581,0
0,失,施,失去,施去,580,0
1,识,十,意识,意十,579,0
0,不,部,不到,部到,578,0
0,去,趣,去世,趣世,575,0
1,述,数,描述,描数,574,0
0,名,明,名字,明字,572,0
1,厂,场,工厂,工场,571,5
0,危,給,危机,給机,570,0
0,同,童,同意,童意,570,0
1,子,紫,儿子,儿紫,568,0
1,众,重,民众,民重,567,0
1,议,意,会议,会意,567,2
1,前,钱,此前,此钱,565,0
1,人,仁,男人,男仁,565,0
1,引,饮,吸引,吸饮,565,0
1,击,机,攻击,攻机,564,0
0,加,家,加入,家入,562,0
1,种,肿,那种,那肿,561,0
1,民,會,人民,人會,560,7
0,身,申,身体,申体,559,0
0,愤,份,愤怒,份怒,559,0
0,竞,敬,竞选,敬选,558,0
0,确,却,确定,却定,557,0
0,晚,页,晚上,页上,555,0
1,有,友,具有,具友,554,0
0,明,鸣,明显,鸣显,554,0
0,达,答,达到,答到,554,0
0,袭,习,袭击,习击,553,0
0,想,响,想法,响法,553,0
0,长,常,长期,常期,551,0
0,最,罪,最好,罪好,551,0
0,空,它,空间,它间,549,0
0,上,尚,上周,尚周,548,0
1,合,和,约合,约和,548,0
0,周,州,周日,州日,547,0
1,子,紫,妻子,妻紫,546,0
0,怀,妨,怀疑,妨疑,545,0
0,冲,充,冲突,充突,545,0
1,求,球,寻求,寻球,544,0
1,术,述,艺术,艺述,544,0
1,易,裔,交易,交裔,543,0
0,一,疑,一月,疑月,543,0
0,人,仁,人数,仁数,542,0
0,完,玩,完成,玩成,541,0
1,习,袭,学习,学袭,539,0
0,指,只,指责,只责,539,0
0,每,美,每年,美年,538,0
0,只,止,只能,止能,538,0
1,定,订,肯定,肯订,537,0
1,速,诉,迅速,迅诉,536,0
0,设,涉,设备,涉备,535,0
1,对,队,面对,面队,534,0
0,像,象,像是,象是,533,4
0,地,蒂,地位,蒂位,532,0
1,人,仁,工人,工仁,532,0
0,对,队,对此,队此,531,0
0,亚,娅,亚裔,娅裔,531,0
1,好,耗,更好,更耗,531,0
1,上,尚,身上,身尚,531,0
1,金,今,资金,资今,530,0
1,泛,饭,广泛,广饭,529,0
1,格,革,价格,价革,528,0
0,反,返,反应,返应,528,0
1,理,里,处理,处里,526,0
1,免,勉,避免,避勉,526,0
1,人,仁,女人,女仁,525,0
1,示,是,展示,展是,525,0
1,立,利,独立,独利,524,0
1,前,钱,以前,以钱,524,0
0,破,迫,破坏,迫坏,523,0
1,方,坊,双方,双坊,522,0
1,击,机,打击,打机,522,0
1,是,市,总是,总市,522,0
1,止,只,阻止,阻只,522,0
1,事,士,军事,军士,521,3
0,永,勇,永远,勇远,521,0
1,物,务,食物,食务,520,0
1,出,初,发出,发初,519,0
1,儿,而,女儿,女而,519,0
0,证,正,证据,正据,519,0
1,四,它,周四,周它,519,0
1,离,黎,隔离,隔黎,518,0
0,视,事,视为,事为,518,0
1,高,糕,最高,最糕,516,0
1,业,夜,商业,商夜,516,0
1,达,答,表达,表答,516,0
0,上,尚,上海,尚海,516,0
1,度,渡,制度,制渡,516,0
1,得,德,取得,取德,510,0
0,男,难,男子,难子,509,0
1,施,失,实施,实失,509,0
0,处,楚,处于,楚于,508,0
1,到,道,来到,来道,503,0
0,作,做,作用,做用,503,0
0,你,拟,你们,拟们,502,0
1,友,有,盟友,盟有,501,0
1,厅,听,餐厅,餐听,501,0
0,显,险,显然,险然,501,0
0,引,隐,引起,隐起,500,0
0,简,减,简单,减单,499,0
0,意,义,意义,义义,498,0
1,言,研,而言,而研,498,0
1,站,战,网站,网战,498,0
0,多,咄,多少,咄少,497,0
1,疗,聊,治疗,治聊,496,0
1,是,士,正是,正士,496,0
1,税,睡,关税,关睡,496,0
1,消,销,取消,取销,496,0
0,丈,障,丈夫,障夫,496,0
1,绪,序,情绪,情序,495,0
0,达,答,达成,答成,494,0
1,五,武,周五,周武,493,0
1,个,各,三个,三各,493,0
0,言,延,言论,延论,493,0
1,识,十,认识,认十,492,0
1,身,申,本身,本申,491,0
1,子,紫,房子,房紫,491,0
1,色,瑟,角色,角瑟,491,0
0,目,幕,目的,幕的,490,0
1,到,道,提到,提道,489,0
1,意,亿,注意,注亿,489,0
1,音,因,声音,声因,489,0
1,于,過,属于,属過,486,0
1,名,明,两名,两明,485,0
0,事,是,事实,是实,485,0
1,罩,召,口罩,口召,485,0
0,其,旗,其实,旗实,484,0
1,降,酱,下降,下酱,484,0
0,生,升,生命,升命,483,0
0,律,绿,律师,绿师,482,0
0,另,令,另外,令外,481,0
0,消,销,消息,销息,481,0
1,非,菲,并非,并菲,479,0
1,想,响,不想,不响,478,0
1,大,場,重大,重場,476,0
0,正,政,正式,政式,475,0
0,补,仅,补充,仅充,473,0
1,些,歇,某些,某歇,470,0
0,紧,谨,紧张,谨张,470,0
0,基,饥,基本,饥本,470,0
0,在,再,在于,再于,469,0
1,益,议,利益,利议,468,0
0,有,友,有着,友着,468,0
0,突,凸,突然,凸然,468,0
0,全,泉,全国,泉国,467,0
0,会,惠,会面,惠面,466,0
0,十,时,十分,时分,466,29
1,围,维,范围,范维,465,0
0,从,丛,从未,丛未,465,0
1,答,达,回答,回达,465,0
0,根,跟,根本,跟本,463,0
0,充,冲,充满,冲满,461,0
1,触,处,接触,接处,461,0
1,确,却,明确,明却,461,0
1,件,见,一件,一见,461,3
1,素,诉,因素,因诉,459,0
1,户,互,用户,用互,458,0
0,现,线,现实,线实,457,0
0,网,往,网上,往上,457,5
1,闭,毕,关闭,关毕,456,0
1,吁,需,呼吁,呼需,456,0
0,糟,遭,糟糕,遭糕,454,0
0,机,击,机场,击场,454,0
1,动,框,推动,推框,453,0
1,队,对,团队,团对,453,0
0,巴,八,巴黎,八黎,452,0
0,德,得,德国,得国,451,0
1,交,礁,外交,外礁,451,0
0,汽,气,汽车,气车,449,0
1,期,七,时期,时七,448,0
0,英,卻,英文,卻文,448,0
0,听,厅,听到,厅到,447,0
0,称,撑,称为,撑为,447,0
1,较,叫,比较,比叫,446,0
0,提,题,提高,题高,446,0
1,中,终,之中,之终,445,0
1,读,毒,阅读,阅毒,444,0
0,复,富,复杂,富杂,444,0
1,败,拜,失败,失拜,443,0
1,间,监,房间,房监,443,0
0,平,瓶,平壤,瓶壤,442,0
0,大,場,大家,場家,441,0
0,越,月,越南,月南,441,0
0,坚,间,坚持,间持,441,0
0,出,初,出口,初口,440,0
1,物,坞,人物,人坞,439,0
0,和,何,和平,何平,439,0
0,飞,非,飞机,非机,438,0
0,模,摩,模式,摩式,438,0
0,担,单,担任,单任,437,0
0,相,箱,相比,箱比,437,0
0,标,飙,标准,飙准,436,0
0,美,每,美國,每國,436,0
1,童,同,儿童,儿同,435,0
1,定,订,规定,规订,435,0
1,及,她,涉及,涉她,434,0
1,器,气,武器,武气,433,0
0,婚,昏,婚姻,昏姻,433,0
0,一,遗,一下,遗下,433,0
1,纪,技,世纪,世技,432,0
1,月,越,六月,六越,430,0
1,孩,还,女孩,女还,429,0
0,规,瘟,规模,瘟模,429,0
1,部,布,内部,内布,429,0
1,责,则,负责,负则,429,0
0,陷,现,陷入,现入,428,0
1,疑,仪,质疑,质仪,427,0
1,乏,罚,缺乏,缺罚,426,0
0,坐,做,坐在,做在,426,0
0,管,馆,管理,馆理,426,0
1,量,良,数量,数良,426,0
0,消,销,消失,销失,426,0
0,动,洞,动物,洞物,425,0
1,月,越,二月,二越,425,0
0,停,庭,停止,庭止,425,0
1,误,物,错误,错物,425,0
1,疆,将,新疆,新将,424,0
1,请,顷,申请,申顷,423,0
0,测,策,测试,策试,422,0
1,人,仁,两人,两仁,422,0
1,队,对,军队,军对,421,0
0,评,平,评论,平论,421,0
1,治,志,统治,统志,420,0
1,由,現,理由,理現,420,0
1,传,船,宣传,宣船,420,0
0,强,墙,强大,墙大,419,0
0,细,系,细节,系节,418,0
0,五,侮,五年,侮年,418,0
0,几,己,几年,己年,418,0
1,天,添,几天,几添,416,0
0,足,族,足够,族够,416,0
0,群,裙,群体,裙体,416,0
0,尝,常,尝试,常试,416,0
0,预,寓,预计,寓计,414,0
0,之,知,之外,知外,414,0
0,最,罪,最新,罪新,413,0
0,这,浙,这名,浙名,412,0
1,果,裹,苹果,苹裹,411,0
1,略,掠,战略,战掠,411,0
1,是,事,于是,于事,411,0
1,善,樣,改善,改樣,410,0
1,授,受,教授,教受,409,0
1,周,洲,本周,本洲,408,0
0,强,墙,强调,墙调,407,0
1,常,长,常常,常长,407,0
1,射,设,发射,发设,407,0
1,造,它,创造,创它,406,0
1,刻,客,时刻,时客,406,0
0,只,指,只要,指要,406,0
0,这,浙,这部,浙部,404,0
1,烈,列,强烈,强列,404,0
1,付,父,支付,支父,404,0
1,实,十,确实,确十,403,0
1,案,暗,法案,法暗,403,0
1,产,阐,生产,生阐,403,0
0,任,认,任务,认务,402,0
1,境,竞,边境,边竞,402,0
0,周,舟,周六,舟六,402,0
1,来,莱,用来,用莱,401,0
1,于,余,用于,用余,401,0
1,士,示,博士,博示,401,0
0,这,浙,这件,浙件,401,0
1,代,带,现代,现带,400,0
0,恢,議,恢复,議复,399,0
1,摄,社,拍摄,拍社,398,0
0,比,吨,比赛,吨赛,398,0
0,检,减,检测,减测,398,0
1,牌,排,品牌,品排,398,0
1,布,不,公布,公不,397,0
1,述,束,讲述,讲束,397,0
1,少,绍,很少,很绍,397,0
0,一,疑,一张,疑张,396,0
0,人,仁,人权,仁权,396,0
1,度,渡,速度,速渡,396,0
0,有,友,有效,友效,396,0
0,自,字,自我,字我,396,0
0,明,名,明白,名白,395,0
1,群,裙,人群,人裙,395,0
0,状,壮,状态,壮态,394,0
0,乘,為,乘客,為客,394,0
1,露,軍,透露,透軍,393,0
0,应,映,应用,映用,392,0
1,惧,距,恐惧,恐距,392,0
0,家,加,家里,加里,391,27
1,会,惠,我会,我惠,389,0
1,士,试,女士,女试,388,0
0,八,巴,八年,巴年,388,0
0,遇,育,遇到,育到,387,0
1,力,例,暴力,暴例,387,0
0,立,力,立场,力场,387,1
0,确,却,确保,却保,387,0
1,片,骗,影片,影骗,386,0
1,得,德,赢得,赢德,386,0
1,排,牌,安排,安牌,386,0
0,全,权,全面,权面,385,0
1,共,贡,公共,公贡,384,0
1,定,订,稳定,稳订,384,0
0,关,冠,关键,冠键,383,0
1,台,將,平台,平將,383,2
0,办,半,办法,半法,383,0
1,作,做,制作,制做,383,2
0,竞,镜,竞争,镜争,383,0
0,首,手,首尔,手尔,381,0
0,游,邮,游戏,邮戏,380,0
0,看,瞰,看法,瞰法,380,0
1,话,化,对话,对化,380,0
1,确,却,的确,的却,380,0
1,强,墙,加强,加墙,380,0
0,不,布,不管,布管,379,0
